"filename", "language", "YAML", "Dart", "Markdown", "Swift", "JSON", "HTML", "XML", "C++", "Properties", "Groovy", "comment", "blank", "total"
"c:\candleOsc\candle_pocketlab\AppIcons\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\candleOsc\candle_pocketlab\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"c:\candleOsc\candle_pocketlab\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 3, 12, 66
"c:\candleOsc\candle_pocketlab\android\app\google-services.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 47
"c:\candleOsc\candle_pocketlab\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\candleOsc\candle_pocketlab\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 11, 6, 55
"c:\candleOsc\candle_pocketlab\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\candleOsc\candle_pocketlab\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 2, 13
"c:\candleOsc\candle_pocketlab\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\candleOsc\candle_pocketlab\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\candleOsc\candle_pocketlab\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 2, 13
"c:\candleOsc\candle_pocketlab\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\candleOsc\candle_pocketlab\android\app\src\main\res\xml\device_filter.xml", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 8, 8, 27
"c:\candleOsc\candle_pocketlab\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\candleOsc\candle_pocketlab\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 5, 33
"c:\candleOsc\candle_pocketlab\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\candleOsc\candle_pocketlab\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\candleOsc\candle_pocketlab\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\candleOsc\candle_pocketlab\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\candleOsc\candle_pocketlab\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\candleOsc\candle_pocketlab\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\candleOsc\candle_pocketlab\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\candleOsc\candle_pocketlab\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\candleOsc\candle_pocketlab\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\candleOsc\candle_pocketlab\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\candleOsc\candle_pocketlab\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\candleOsc\candle_pocketlab\lib\Device\connectScreen.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 22, 12, 122
"c:\candleOsc\candle_pocketlab\lib\Device\device.dart", "Dart", 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 145, 42, 372
"c:\candleOsc\candle_pocketlab\lib\Device\deviceBLE.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 70
"c:\candleOsc\candle_pocketlab\lib\Device\deviceUSB.dart", "Dart", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 134, 39, 337
"c:\candleOsc\candle_pocketlab\lib\HomeScreen\homescreen.dart", "Dart", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 35, 20, 190
"c:\candleOsc\candle_pocketlab\lib\HomeScreen\loginScreen.dart", "Dart", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 56, 24, 246
"c:\candleOsc\candle_pocketlab\lib\MiscScreens\aboutUs.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\candleOsc\candle_pocketlab\lib\MiscScreens\settingScreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\candleOsc\candle_pocketlab\lib\MultimeterScreen\multimeter.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 24, 15, 90
"c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\channelTool.dart", "Dart", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 90, 24, 410
"c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\graphOpsTool.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 61, 17, 187
"c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\oscilloscope.dart", "Dart", 0, 477, 0, 0, 0, 0, 0, 0, 0, 0, 196, 97, 770
"c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\wavegenOSc.dart", "Dart", 0, 259, 0, 0, 0, 0, 0, 0, 0, 0, 81, 30, 370
"c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\xyTool.dart", "Dart", 0, 412, 0, 0, 0, 0, 0, 0, 0, 0, 110, 42, 564
"c:\candleOsc\candle_pocketlab\lib\PWM & Output\pwmScreen.dart", "Dart", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 97
"c:\candleOsc\candle_pocketlab\lib\Plot\plot.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 99, 20, 184
"c:\candleOsc\candle_pocketlab\lib\PowerSourceScreen\powerSource.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 90
"c:\candleOsc\candle_pocketlab\lib\Settings\settings.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\candleOsc\candle_pocketlab\lib\WaveGeneratorScreen\waveGenerator.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 25, 12, 86
"c:\candleOsc\candle_pocketlab\lib\Widgets\header.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 45
"c:\candleOsc\candle_pocketlab\lib\Widgets\homeScreenTile.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 63
"c:\candleOsc\candle_pocketlab\lib\Widgets\multimeterTile.dart", "Dart", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 102, 33, 290
"c:\candleOsc\candle_pocketlab\lib\Widgets\psEdit.dart", "Dart", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 134, 35, 399
"c:\candleOsc\candle_pocketlab\lib\Widgets\pwmTile.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 25, 18, 123
"c:\candleOsc\candle_pocketlab\lib\Widgets\wgEdit.dart", "Dart", 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 102, 33, 459
