Date : 2021-07-21 10:49:39
Directory : c:\candleOsc\candle_pocketlab
Total : 56 files,  4097 codes, 1658 comments, 667 blanks, all 6422 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         27 |      3,518 |      1,547 |        571 |      5,636 |
| JSON       |          5 |        216 |          0 |          3 |        219 |
| XML        |         12 |        159 |         59 |         26 |        244 |
| Groovy     |          4 |         88 |          3 |         22 |        113 |
| YAML       |          1 |         65 |         33 |         31 |        129 |
| HTML       |          1 |         26 |         15 |          5 |         46 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
| Markdown   |          2 |          4 |          0 |          4 |          8 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         56 |      4,097 |      1,658 |        667 |      6,422 |
| AppIcons                                                                                    |          1 |          1 |          0 |          0 |          1 |
| AppIcons\Assets.xcassets                                                                    |          1 |          1 |          0 |          0 |          1 |
| AppIcons\Assets.xcassets\AppIcon.appiconset                                                 |          1 |          1 |          0 |          0 |          1 |
| android                                                                                     |         17 |        241 |         61 |         48 |        350 |
| android\app                                                                                 |         12 |        196 |         60 |         36 |        292 |
| android\app\src                                                                             |         10 |         98 |         57 |         24 |        179 |
| android\app\src\debug                                                                       |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                        |          8 |         90 |         51 |         22 |        163 |
| android\app\src\main\res                                                                    |          7 |         52 |         40 |         16 |        108 |
| android\app\src\main\res\drawable                                                           |          1 |          9 |          2 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                             |          3 |         19 |         14 |          3 |         36 |
| android\app\src\main\res\values-night                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\xml                                                                |          1 |         11 |          8 |          8 |         27 |
| android\app\src\profile                                                                     |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                              |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                      |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                  |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                               |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                             |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                       |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                         |         26 |      3,504 |      1,537 |        564 |      5,605 |
| lib\Device                                                                                  |          4 |        466 |        335 |        100 |        901 |
| lib\HomeScreen                                                                              |          2 |        301 |         91 |         44 |        436 |
| lib\MiscScreens                                                                             |          2 |          0 |          0 |          2 |          2 |
| lib\MultimeterScreen                                                                        |          1 |         51 |         24 |         15 |         90 |
| lib\OscilloscopeScreen                                                                      |          5 |      1,553 |        538 |        210 |      2,301 |
| lib\PWM & Output                                                                            |          1 |         66 |         19 |         12 |         97 |
| lib\Plot                                                                                    |          1 |         65 |         99 |         20 |        184 |
| lib\PowerSourceScreen                                                                       |          1 |         57 |         20 |         13 |         90 |
| lib\Settings                                                                                |          1 |         15 |          0 |          3 |         18 |
| lib\WaveGeneratorScreen                                                                     |          1 |         49 |         25 |         12 |         86 |
| lib\Widgets                                                                                 |          6 |        865 |        383 |        131 |      1,379 |
| test                                                                                        |          1 |         14 |         10 |          7 |         31 |
| web                                                                                         |          2 |         49 |         15 |          6 |         70 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                    | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\candleOsc\candle_pocketlab\AppIcons\Assets.xcassets\AppIcon.appiconset\Contents.json     | JSON       |          1 |          0 |          0 |          1 |
| c:\candleOsc\candle_pocketlab\README.md                                                     | Markdown   |          1 |          0 |          2 |          3 |
| c:\candleOsc\candle_pocketlab\android\app\build.gradle                                      | Groovy     |         51 |          3 |         12 |         66 |
| c:\candleOsc\candle_pocketlab\android\app\google-services.json                              | JSON       |         47 |          0 |          0 |         47 |
| c:\candleOsc\candle_pocketlab\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\AndroidManifest.xml                      | XML        |         38 |         11 |          6 |         55 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          4 |          7 |          2 |         13 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\res\drawable\launch_background.xml       | XML        |          9 |          2 |          2 |         13 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\res\values\colors.xml                    | XML        |          4 |          0 |          0 |          4 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\res\values\strings.xml                   | XML        |          6 |          5 |          2 |         13 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\candleOsc\candle_pocketlab\android\app\src\main\res\xml\device_filter.xml                | XML        |         11 |          8 |          8 |         27 |
| c:\candleOsc\candle_pocketlab\android\app\src\profile\AndroidManifest.xml                   | XML        |          4 |          3 |          1 |          8 |
| c:\candleOsc\candle_pocketlab\android\build.gradle                                          | Groovy     |         28 |          0 |          5 |         33 |
| c:\candleOsc\candle_pocketlab\android\gradle.properties                                     | Properties |          3 |          0 |          1 |          4 |
| c:\candleOsc\candle_pocketlab\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| c:\candleOsc\candle_pocketlab\android\settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| c:\candleOsc\candle_pocketlab\android\settings_aar.gradle                                   | Groovy     |          1 |          0 |          1 |          2 |
| c:\candleOsc\candle_pocketlab\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\candleOsc\candle_pocketlab\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\candleOsc\candle_pocketlab\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\candleOsc\candle_pocketlab\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\candleOsc\candle_pocketlab\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\candleOsc\candle_pocketlab\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\candleOsc\candle_pocketlab\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\candleOsc\candle_pocketlab\lib\Device\connectScreen.dart                                 | Dart       |         88 |         22 |         12 |        122 |
| c:\candleOsc\candle_pocketlab\lib\Device\device.dart                                        | Dart       |        185 |        145 |         42 |        372 |
| c:\candleOsc\candle_pocketlab\lib\Device\deviceBLE.dart                                     | Dart       |         29 |         34 |          7 |         70 |
| c:\candleOsc\candle_pocketlab\lib\Device\deviceUSB.dart                                     | Dart       |        164 |        134 |         39 |        337 |
| c:\candleOsc\candle_pocketlab\lib\HomeScreen\homescreen.dart                                | Dart       |        135 |         35 |         20 |        190 |
| c:\candleOsc\candle_pocketlab\lib\HomeScreen\loginScreen.dart                               | Dart       |        166 |         56 |         24 |        246 |
| c:\candleOsc\candle_pocketlab\lib\MiscScreens\aboutUs.dart                                  | Dart       |          0 |          0 |          1 |          1 |
| c:\candleOsc\candle_pocketlab\lib\MiscScreens\settingScreen.dart                            | Dart       |          0 |          0 |          1 |          1 |
| c:\candleOsc\candle_pocketlab\lib\MultimeterScreen\multimeter.dart                          | Dart       |         51 |         24 |         15 |         90 |
| c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\channelTool.dart                       | Dart       |        296 |         90 |         24 |        410 |
| c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\graphOpsTool.dart                      | Dart       |        109 |         61 |         17 |        187 |
| c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\oscilloscope.dart                      | Dart       |        477 |        196 |         97 |        770 |
| c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\wavegenOSc.dart                        | Dart       |        259 |         81 |         30 |        370 |
| c:\candleOsc\candle_pocketlab\lib\OscilloscopeScreen\xyTool.dart                            | Dart       |        412 |        110 |         42 |        564 |
| c:\candleOsc\candle_pocketlab\lib\PWM & Output\pwmScreen.dart                               | Dart       |         66 |         19 |         12 |         97 |
| c:\candleOsc\candle_pocketlab\lib\Plot\plot.dart                                            | Dart       |         65 |         99 |         20 |        184 |
| c:\candleOsc\candle_pocketlab\lib\PowerSourceScreen\powerSource.dart                        | Dart       |         57 |         20 |         13 |         90 |
| c:\candleOsc\candle_pocketlab\lib\Settings\settings.dart                                    | Dart       |         15 |          0 |          3 |         18 |
| c:\candleOsc\candle_pocketlab\lib\WaveGeneratorScreen\waveGenerator.dart                    | Dart       |         49 |         25 |         12 |         86 |
| c:\candleOsc\candle_pocketlab\lib\Widgets\header.dart                                       | Dart       |         33 |          8 |          4 |         45 |
| c:\candleOsc\candle_pocketlab\lib\Widgets\homeScreenTile.dart                               | Dart       |         43 |         12 |          8 |         63 |
| c:\candleOsc\candle_pocketlab\lib\Widgets\multimeterTile.dart                               | Dart       |        155 |        102 |         33 |        290 |
| c:\candleOsc\candle_pocketlab\lib\Widgets\psEdit.dart                                       | Dart       |        230 |        134 |         35 |        399 |
| c:\candleOsc\candle_pocketlab\lib\Widgets\pwmTile.dart                                      | Dart       |         80 |         25 |         18 |        123 |
| c:\candleOsc\candle_pocketlab\lib\Widgets\wgEdit.dart                                       | Dart       |        324 |        102 |         33 |        459 |
| c:\candleOsc\candle_pocketlab\lib\main.dart                                                 | Dart       |         16 |          3 |          2 |         21 |
| c:\candleOsc\candle_pocketlab\pubspec.yaml                                                  | YAML       |         65 |         33 |         31 |        129 |
| c:\candleOsc\candle_pocketlab\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\candleOsc\candle_pocketlab\web\index.html                                                | HTML       |         26 |         15 |          5 |         46 |
| c:\candleOsc\candle_pocketlab\web\manifest.json                                             | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                       |            |      4,097 |      1,658 |        667 |      6,422 |
